brand_name,brand_site_url,brand_image_url,model_name,model_brand_url,model_image_url
FSO,https://www.autoevolution.com/fso/,https://s1.cdn.autoevolution.com/images/producers/fso-sm.jpg,,,
GEELY,https://www.autoevolution.com/geely/,https://s1.cdn.autoevolution.com/images/producers/geely-sm.jpg,,,
GENESIS,https://www.autoevolution.com/genesis/,https://s1.cdn.autoevolution.com/images/producers/genesis-sm.jpg,,,
GMC,https://www.autoevolution.com/gmc/,https://s1.cdn.autoevolution.com/images/producers/gmc-sm.jpg,,,
GORDON MURRAY Automotive,https://www.autoevolution.com/gordon-murray-automotive/,https://s1.cdn.autoevolution.com/images/producers/gordon-murray-automotive-sm.jpg,,,
GTA Motor,https://www.autoevolution.com/gta-motor/,https://s1.cdn.autoevolution.com/images/producers/gta-motor-sm.jpg,,,
HINDUSTAN,https://www.autoevolution.com/hindustan/,https://s1.cdn.autoevolution.com/images/producers/hindustan-sm.jpg,,,
HOLDEN,https://www.autoevolution.com/holden/,https://s1.cdn.autoevolution.com/images/producers/holden-sm.jpg,,,
HONDA,https://www.autoevolution.com/honda/,https://s1.cdn.autoevolution.com/images/producers/honda-sm.jpg,,,
HUMMER,https://www.autoevolution.com/hummer/,https://s1.cdn.autoevolution.com/images/producers/hummer-sm.jpg,,,
HYUNDAI,https://www.autoevolution.com/hyundai/,https://s1.cdn.autoevolution.com/images/producers/hyundai-sm.jpg,,,
INEOS,https://www.autoevolution.com/ineos/,https://s1.cdn.autoevolution.com/images/producers/ineos-sm.jpg,,,
INFINITI,https://www.autoevolution.com/infiniti/,https://s1.cdn.autoevolution.com/images/producers/infiniti-sm.jpg,,,
ISUZU,https://www.autoevolution.com/isuzu/,https://s1.cdn.autoevolution.com/images/producers/isuzu-sm.jpg,,,
JAGUAR,https://www.autoevolution.com/jaguar/,https://s1.cdn.autoevolution.com/images/producers/jaguar-sm.jpg,,,
JEEP,https://www.autoevolution.com/jeep/,https://s1.cdn.autoevolution.com/images/producers/jeep-sm.jpg,,,
Karma,https://www.autoevolution.com/karma/,https://s1.cdn.autoevolution.com/images/producers/karma-sm.jpg,,,
KIA,https://www.autoevolution.com/kia/,https://s1.cdn.autoevolution.com/images/producers/kia-sm.jpg,,,
KOENIGSEGG,https://www.autoevolution.com/koenigsegg/,https://s1.cdn.autoevolution.com/images/producers/koenigsegg-sm.jpg,,,
KTM,https://www.autoevolution.com/ktm/,https://s1.cdn.autoevolution.com/images/producers/ktm-sm.jpg,,,
LADA,https://www.autoevolution.com/lada/,https://s1.cdn.autoevolution.com/images/producers/lada-sm.jpg,,,
LAMBORGHINI,https://www.autoevolution.com/lamborghini/,https://s1.cdn.autoevolution.com/images/producers/lamborghini-sm.jpg,,,
LANCIA,https://www.autoevolution.com/lancia/,https://s1.cdn.autoevolution.com/images/producers/lancia-sm.jpg,,,
LAND ROVER,https://www.autoevolution.com/land-rover/,https://s1.cdn.autoevolution.com/images/producers/land-rover-sm.jpg,,,
LEXUS,https://www.autoevolution.com/lexus/,https://s1.cdn.autoevolution.com/images/producers/lexus-sm.jpg,,,
LIGHTYEAR,https://www.autoevolution.com/lightyear/,https://s1.cdn.autoevolution.com/images/producers/lightyear-sm.jpg,,,
LINCOLN,https://www.autoevolution.com/lincoln/,https://s1.cdn.autoevolution.com/images/producers/lincoln-sm.jpg,,,
LOTUS,https://www.autoevolution.com/lotus/,https://s1.cdn.autoevolution.com/images/producers/lotus-sm.jpg,,,
Lucid Motors,https://www.autoevolution.com/lucid-motors/,https://s1.cdn.autoevolution.com/images/producers/lucid-motors-sm.jpg,,,
Mahindra,https://www.autoevolution.com/mahindra/,https://s1.cdn.autoevolution.com/images/producers/mahindra-sm.jpg,,,
MARUSSIA,https://www.autoevolution.com/marussia-motors/,https://s1.cdn.autoevolution.com/images/producers/marussia-sm.jpg,,,
MARUTI SUZUKI,https://www.autoevolution.com/maruti-suzuki/,https://s1.cdn.autoevolution.com/images/producers/maruti-suzuki-sm.jpg,,,
MASERATI,https://www.autoevolution.com/maserati/,https://s1.cdn.autoevolution.com/images/producers/maserati-sm.jpg,,,
MAYBACH,https://www.autoevolution.com/maybach/,https://s1.cdn.autoevolution.com/images/producers/maybach-sm.jpg,,,
MAZDA,https://www.autoevolution.com/mazda/,https://s1.cdn.autoevolution.com/images/producers/mazda-sm.jpg,,,
MCLAREN,https://www.autoevolution.com/mclaren/,https://s1.cdn.autoevolution.com/images/producers/mclaren-sm.jpg,,,
MERCEDES BENZ,https://www.autoevolution.com/mercedes-benz/,https://s1.cdn.autoevolution.com/images/producers/mercedes-benz-sm.jpg,,,
Mercedes-AMG,https://www.autoevolution.com/mercedes-amg/,https://s1.cdn.autoevolution.com/images/producers/mercedes-amg-sm.jpg,,,
MERCURY,https://www.autoevolution.com/mercury/,https://s1.cdn.autoevolution.com/images/producers/mercury-sm.jpg,,,
MG,https://www.autoevolution.com/mg/,https://s1.cdn.autoevolution.com/images/producers/mg-sm.jpg,,,
MINI,https://www.autoevolution.com/mini/,https://s1.cdn.autoevolution.com/images/producers/mini-sm.jpg,,,
MITSUBISHI,https://www.autoevolution.com/mitsubishi/,https://s1.cdn.autoevolution.com/images/producers/mitsubishi-sm.jpg,,,
MORGAN,https://www.autoevolution.com/morgan/,https://s1.cdn.autoevolution.com/images/producers/morgan-sm.jpg,,,
NIO,https://www.autoevolution.com/nio/,https://s1.cdn.autoevolution.com/images/producers/nio-sm.jpg,,,
NISSAN,https://www.autoevolution.com/nissan/,https://s1.cdn.autoevolution.com/images/producers/nissan-sm.jpg,,,
OLDSMOBILE,https://www.autoevolution.com/oldsmobile/,https://s1.cdn.autoevolution.com/images/producers/oldsmobile-sm.jpg,,,
OPEL,https://www.autoevolution.com/opel/,https://s1.cdn.autoevolution.com/images/producers/opel-sm.jpg,,,
PAGANI,https://www.autoevolution.com/pagani/,https://s1.cdn.autoevolution.com/images/producers/pagani-sm.jpg,,,
PANOZ,https://www.autoevolution.com/panoz/,https://s1.cdn.autoevolution.com/images/producers/panoz-sm.jpg,,,
PERODUA,https://www.autoevolution.com/perodua/,https://s1.cdn.autoevolution.com/images/producers/perodua-sm.jpg,,,
PEUGEOT,https://www.autoevolution.com/peugeot/,https://s1.cdn.autoevolution.com/images/producers/peugeot-sm.jpg,,,
Pininfarina,https://www.autoevolution.com/pininfarina/,https://s1.cdn.autoevolution.com/images/producers/pininfarina-sm.jpg,,,
PLYMOUTH,https://www.autoevolution.com/plymouth/,https://s1.cdn.autoevolution.com/images/producers/plymouth-sm.jpg,,,
Polestar,https://www.autoevolution.com/polestar/,https://s1.cdn.autoevolution.com/images/producers/polestar-sm.jpg,,,
PONTIAC,https://www.autoevolution.com/pontiac/,https://s1.cdn.autoevolution.com/images/producers/pontiac-sm.jpg,,,
PORSCHE,https://www.autoevolution.com/porsche/,https://s1.cdn.autoevolution.com/images/producers/porsche-sm.jpg,,,
PROTON,https://www.autoevolution.com/proton/,https://s1.cdn.autoevolution.com/images/producers/proton-sm.jpg,,,
QOROS,https://www.autoevolution.com/qoros/,https://s1.cdn.autoevolution.com/images/producers/qoros-sm.jpg,,,
RAM Trucks,https://www.autoevolution.com/ram-trucks/,https://s1.cdn.autoevolution.com/images/producers/ram-trucks-sm.jpg,,,
RENAULT,https://www.autoevolution.com/renault/,https://s1.cdn.autoevolution.com/images/producers/renault-sm.jpg,,,
RIMAC,https://www.autoevolution.com/rimac/,https://s1.cdn.autoevolution.com/images/producers/rimac-sm.jpg,,,
RIVIAN,https://www.autoevolution.com/rivian/,https://s1.cdn.autoevolution.com/images/producers/rivian-sm.jpg,,,
ROLLS-ROYCE,https://www.autoevolution.com/rolls-royce/,https://s1.cdn.autoevolution.com/images/producers/rolls-royce-sm.jpg,,,
ROVER,https://www.autoevolution.com/rover/,https://s1.cdn.autoevolution.com/images/producers/rover-sm.jpg,,,
SAAB,https://www.autoevolution.com/saab/,https://s1.cdn.autoevolution.com/images/producers/saab-sm.jpg,,,
SALEEN,https://www.autoevolution.com/saleen/,https://s1.cdn.autoevolution.com/images/producers/saleen-sm.jpg,,,
SAMSUNG,https://www.autoevolution.com/samsung/,https://s1.cdn.autoevolution.com/images/producers/samsung-sm.jpg,,,
SANTANA,https://www.autoevolution.com/santana/,https://s1.cdn.autoevolution.com/images/producers/santana-sm.jpg,,,
SATURN,https://www.autoevolution.com/saturn/,https://s1.cdn.autoevolution.com/images/producers/saturn-sm.jpg,,,
SCION,https://www.autoevolution.com/scion/,https://s1.cdn.autoevolution.com/images/producers/scion-sm.jpg,,,
SCOUT MOTORS,https://www.autoevolution.com/scout-motors/,https://s1.cdn.autoevolution.com/images/producers/scout-motors-sm.jpg,,,
SEAT,https://www.autoevolution.com/seat/,https://s1.cdn.autoevolution.com/images/producers/seat-sm.jpg,,,
SKODA,https://www.autoevolution.com/skoda/,https://s1.cdn.autoevolution.com/images/producers/skoda-sm.jpg,,,
SMART,https://www.autoevolution.com/smart/,https://s1.cdn.autoevolution.com/images/producers/smart-sm.jpg,,,
SPYKER,https://www.autoevolution.com/spyker/,https://s1.cdn.autoevolution.com/images/producers/spyker-sm.jpg,,,
SSANGYONG,https://www.autoevolution.com/ssang-yong/,https://s1.cdn.autoevolution.com/images/producers/ssangyong-sm.jpg,,,
SUBARU,https://www.autoevolution.com/subaru/,https://s1.cdn.autoevolution.com/images/producers/subaru-sm.jpg,,,
SUZUKI,https://www.autoevolution.com/suzuki/,https://s1.cdn.autoevolution.com/images/producers/suzuki-sm.jpg,,,
TATA MOTORS,https://www.autoevolution.com/tata-motors/,https://s1.cdn.autoevolution.com/images/producers/tata-motors-sm.jpg,,,
TESLA,https://www.autoevolution.com/tesla-motors/,https://s1.cdn.autoevolution.com/images/producers/tesla-sm.jpg,,,
TOYOTA,https://www.autoevolution.com/toyota/,https://s1.cdn.autoevolution.com/images/producers/toyota-sm.jpg,,,
TVR,https://www.autoevolution.com/tvr/,https://s1.cdn.autoevolution.com/images/producers/tvr-sm.jpg,,,
VAUXHALL,https://www.autoevolution.com/vauxhall/,https://s1.cdn.autoevolution.com/images/producers/vauxhall-sm.jpg,,,
VinFast,https://www.autoevolution.com/vinfast/,https://s1.cdn.autoevolution.com/images/producers/vinfast-sm.jpg,,,
VOLKSWAGEN,https://www.autoevolution.com/volkswagen/,https://s1.cdn.autoevolution.com/images/producers/volkswagen-sm.jpg,,,
VOLVO,https://www.autoevolution.com/volvo/,https://s1.cdn.autoevolution.com/images/producers/volvo-sm.jpg,,,
WIESMANN,https://www.autoevolution.com/wiesmann/,https://s1.cdn.autoevolution.com/images/producers/wiesmann-sm.jpg,,,
Xiaomi,https://www.autoevolution.com/xiaomi/,https://s1.cdn.autoevolution.com/images/producers/xiaomi-sm.jpg,,,
Xpeng,https://www.autoevolution.com/xpeng/,https://s1.cdn.autoevolution.com/images/producers/xpeng-sm.jpg,,,
ZENDER,https://www.autoevolution.com/zender/,https://s1.cdn.autoevolution.com/images/producers/zender-sm.jpg,,,
Zenvo,https://www.autoevolution.com/zenvo/,https://s1.cdn.autoevolution.com/images/producers/zenvo-sm.jpg,,,
